Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,346387287.2666254,2493920860.5708055,248.29381289474512,0.1405889746065972,0.2614641371578275,0.33348462684229296,0.005424353254381509,0.6491053725537561,0.0,0.014976850815015843,0.0,0.0,0.010038819903336738,0.0000022301031284198594,0.000010153843983568474,149.2775412163611,0.0,0.0,69.78770171958399 
July,1416888995.0134053,32911624.883687124,485.86566525252056,0.16935620864144896,1.0587343433963927,0.8831450525543391,0.011409671174344325,2.6524250189805643,0.0,0.024757852356615564,0.0,0.0,0.014523998200133021,0.000007993490233242684,0.00003936818645757261,610.6162469793993,0.0,0.0,140.0577606370104 
January,21049972605.883106,47563727253.483284,9670.845829336971,4.394319468471757,15.778957082004988,15.347057254470538,0.21940673096872498,39.41829579711797,0.0,0.5368128044563164,0.0,0.0,0.33864054898554613,0.00012398036924971464,0.0005948993128964396,9071.603574351955,0.0,0.0,2753.9284128007366 
February,18874414116.57385,37351100058.21135,8395.379616666234,3.728814406548329,14.142554393966062,13.510367496085896,0.19111596258956107,35.34291332104262,0.0,0.4623165106962031,0.0,0.0,0.289816650999823,0.00011057879330982397,0.0005322870084708313,8134.034460256527,0.0,0.0,2393.5602789470827 
March,21066267838.183407,21778927147.234367,8333.02582467826,3.36743855878323,15.763800991466951,14.13757510298215,0.19220566098100605,39.44189014555528,0.0,0.44452874616458576,0.0,0.0,0.27150826912537285,0.00012121014525286108,0.0005898598320271033,9078.62609596498,0.0,0.0,2386.8139617040797 
April,19333348789.39314,12376194175.986685,7251.004997904524,2.7867453140438663,14.458996981261185,12.614603601284648,0.16832688990779165,36.19534575378296,0.0,0.38063747253933644,0.0,0.0,0.22930869096324,0.00011039451137692235,0.0005397165587288295,8331.814927542024,0.0,0.0,2081.6345717999056 
May,19213521135.594284,2819470282.111548,6712.154573730628,2.3912204709377294,14.35933163101557,12.088013794910735,0.1572347861755896,35.96846718386786,0.0,0.34424503086075786,0.0,0.0,0.20314459780802077,0.00010865800688493222,0.0005343521643169044,8280.174529102756,0.0,0.0,1933.1694558088273 
June,20071554378.029644,1026621689.2132337,6911.937120980767,2.421448554633878,14.998553650254829,12.537080339910089,0.1622226575373868,37.57422493028438,0.0,0.35272990249820535,0.0,0.0,0.20720862172097046,0.00011329745014521236,0.0005578064510414688,8649.948759916411,0.0,0.0,1992.062461293018 
July,20980524201.32949,979345339.4091749,7220.06901177758,2.5273660493200705,15.677685789293687,13.100405192621349,0.16946975434804537,39.27580376943968,0.0,0.36836716562959193,0.0,0.0,0.2163476329474073,0.00011841788330397327,0.0005830475628702324,9041.674395498538,0.0,0.0,2080.935057915493 
August,21263947450.19178,989882060.7900627,7317.463699097816,2.561400461818228,15.889470809768397,13.277249524984938,0.17175624511457624,39.80637491515114,0.0,0.37333372275706556,0.0,0.0,0.21926321669611845,0.00012001727658038025,0.0005909233050452873,9163.81723176595,0.0,0.0,2109.007635043072 
September,18487761255.960052,1198468590.8606448,6379.708234745455,2.2404673817321363,13.815325587160029,11.55977261780614,0.14969012406915852,34.60941026073957,0.0,0.3258046704823294,0.0,0.0,0.19151829022037775,0.00010438551573594487,0.0005138452815004318,7967.404244718989,0.0,0.0,1838.4898930094255 
October,19605184946.522503,7049699229.526157,7066.381026085077,2.606457933915654,14.65646687322508,12.531796847282955,0.1648631059339798,36.70279553928397,0.0,0.3662425864540272,0.0,0.0,0.21817654959412758,0.00011133615452791936,0.0005461336237502913,8448.964241739463,0.0,0.0,2032.2466624944464 
November,20033216133.489113,22592541792.316757,8022.421380193006,3.2773818509452717,14.992767189243153,13.533294305033683,0.18477475341950825,37.5082354030925,0.0,0.42948485359579563,0.0,0.0,0.2631050064782023,0.00011547507791569352,0.0005613349555900987,8633.426678737433,0.0,0.0,2296.6757896008617 
December,20854347659.672035,46244838184.463554,9535.286664720687,4.318494675997261,15.631388099782969,15.162955959973381,0.21643823148738225,39.05173243554032,0.0,0.5286760748839274,0.0,0.0,0.3332048303135123,0.00012273084349136918,0.0005891839285189934,8987.297908282633,0.0,0.0,2715.7961340037823 
